WIMB,Monoglobus_absabun,Ruminococcus_torques_group_absabund,Monoglobus_relabund,Ruminococcus_torques_group_relabund,Totalreads_sample,SPID
246,446,2506,0.009985447,0.056106571,44665,5105780086
247,0,605,0,0.018506057,32692,5105706832
248,11,20,0.000425977,0.000774503,25823,5105734643
249,593,4835,0.012081084,0.098502598,49085,5105456726
25,0,0,0,0,25614,5115150635
250,84,447,0.00288769,0.015366633,29089,5105447436
251,9,839,0.000274683,0.025606592,32765,5084725440
252,58,305,0.002852646,0.015000984,20332,5095525813
253,0,1112,0,0.055812086,19924,5094534531
254,10,2718,0.000162096,0.044057576,61692,5115103016
255,38,1547,0.001008975,0.041075886,37662,5115165563
257,330,751,0.008332071,0.018961773,39606,5115113256
258,0,614,0,0.018229321,33682,5115171808
259,64,5748,0.001147756,0.1030828,55761,5115138242
26,488,1041,0.023055844,0.049182651,21166,5115168566
260,202,1626,0.008025108,0.064598149,25171,5095545642
263,62,1882,0.002552806,0.077490015,24287,5095540250
264,36,2266,0.001742835,0.109701782,20656,5094554235
265,362,825,0.012398109,0.02825536,29198,5095528586
267,28,2861,0.000907765,0.092754093,30845,5115215588
268,442,3727,0.008551308,0.072105711,51688,5115180064
269,0,48,0,0.002037006,23564,5115153833
27,194,1583,0.006330147,0.05165269,30647,5084743850
270,742,849,0.013285111,0.015200888,55852,5105774602
272,239,6243,0.006665179,0.174103408,35858,5105438853
273,179,4060,0.003807539,0.086360929,47012,5105755114
274,364,2188,0.006693637,0.040235381,54380,5105458147
275,114,332,0.004554535,0.013264083,25030,5115103515
276,124,416,0.002622008,0.008796414,47292,5115100063
277,52,554,0.00187746,0.020002166,27697,5084838224
278,487,2250,0.011487204,0.053072296,42395,5084884786
28,135,825,0.002873196,0.017558422,46986,5115166443
281,97,2107,0.003536661,0.07682211,27427,5115121271
282,0,917,0,0.023347591,39276,5115150121
283,30,460,0.000862813,0.013229796,34770,5115268467
286,87,1046,0.003063272,0.036829689,28401,5084776470
288,73,546,0.003032191,0.022679128,24075,5084885761
289,211,312,0.007920123,0.011711272,26641,5084883544
290,918,693,0.02518104,0.019009217,36456,5115162530
291,9,331,0.00028207,0.010373899,31907,5115166146
295,79,1919,0.001876039,0.045571123,42110,5115144307
296,388,1408,0.011146863,0.040450471,34808,5115152308
297,131,1355,0.006149657,0.063609051,21302,5095567512
298,452,1643,0.004609564,0.016755561,98057,5094548508
299,193,273,0.008882548,0.012564433,21728,5095511056
3,339,2209,0.006849592,0.044633476,49492,5094566580
300,47,577,0.002411369,0.029603407,19491,5084710604
301,95,877,0.004947144,0.045669947,19203,5084862601
303,228,339,0.006874717,0.010221619,33165,5094564554
304,4,970,0.000197941,0.048000792,20208,5105765766
305,260,402,0.005211883,0.008058373,49886,5105681381
308,146,1583,0.002504675,0.027156851,58291,5105756261
309,90,4087,0.002013423,0.091431767,44700,5115145345
31,537,89,0.010151421,0.001682451,52899,5084818510
310,293,554,0.008926123,0.01687738,32825,5115182315
312,274,4067,0.006136756,0.091088266,44649,5115146458
315,193,449,0.003941188,0.009168879,48970,5105723468
316,517,1385,0.009906112,0.026537651,52190,5105450458
317,360,318,0.006345513,0.005605203,56733,5105707605
318,279,728,0.014557028,0.03798393,19166,5084771446
319,493,352,0.021755439,0.015533295,22661,5095521255
32,986,3242,0.017584221,0.057817488,56073,5115287333
320,275,793,0.009419744,0.027163116,29194,5095554721
321,157,848,0.003700823,0.019989157,42423,5095576852
322,62,638,0.002628455,0.027047651,23588,5095555667
324,393,5827,0.009054465,0.1342503,43404,5115140424
325,64,295,0.002770923,0.012772222,23097,5115268482
326,703,1095,0.018167252,0.028297498,38696,5115235530
328,116,1889,0.003011657,0.04904328,38517,5105672640
329,130,1436,0.005439103,0.060081168,23901,5105655240
33,1027,822,0.01762243,0.014104808,58278,5084817003
330,0,0,0,0,33966,5115167861
331,387,374,0.013406776,0.012956419,28866,5115154284
332,464,1636,0.011262683,0.039710666,41198,5115250378
333,137,42,0.005305553,0.00162652,25822,5095513513
334,168,2158,0.003662525,0.047046,45870,5095571870
335,90,728,0.004110715,0.033251119,21894,5095522743
336,79,2147,0.002602708,0.070734359,30353,5095512513
337,35,2187,0.001173512,0.073327745,29825,5084878763
338,0,3296,0,0.119402985,27604,5095521188
339,0,5471,0,0.171263108,31945,5095505238
34,344,1267,0.009850524,0.036280854,34922,5104956876
340,7,869,0.00019418,0.024106078,36049,5105486708
